Judge Name, Unique id
Natwarlal Harilal Bhagwati,7faa34f8-7ad0-4a2c-9214-44e7ec620c00
B. Jagannadhadas,234c6c8a-0188-4e2f-9a89-dd71a04ac06d
T.L Venkatarama Aiyyar,e69cf93e-e160-4522-b59e-977c5ea64af7
Syed Jaffer Imam,6b44a7c5-2abf-4daa-a0aa-abedb418839c
S.K Das,dc591810-fd78-4457-9104-de42404cb7b7
P. Govinda Menon,6092efbf-f90f-4a29-8d6f-58827d9541fd
J.L. Kapur,6f170bc3-6857-4a46-999b-56e7a5a09c75
K.C. Das Gupta,5e3edd16-3699-455f-a7c0-923210e26c31
Raghubar Dayal,e0b0e7a2-610a-4d2f-8e91-cdf83ea6bf70
N. Rajagopala Ayyangar,723e8233-751b-459f-b2e9-056deadb7c24
J.R. Mudholkar,bd0ff4c7-d5a3-4071-95a1-ceecd565a954
R.S. Bachawat,616b7009-6c23-411d-b9ef-77809a50a2f7
V. Ramaswami,362e3a21-36a0-472d-a425-7f81c97711b2
P. Satyanarayana Raju,229fb7f5-a05b-4d81-9469-eb581b732589
J.M. Shelat,e752f734-a288-4375-9243-8eb090f7affc
Vishishtha Bhargava,cc92b7e9-ccc9-4b31-a26a-05eeae8821c2
G.K. Mitter,34031067-c512-48d6-ac0e-ea820a69bd2e
C.A. Vaidyialingam,7b381154-eef5-4f35-aab2-d07249ab2874
K.S. Hegde,0edc668f-e188-4fce-a1eb-111971e15695
A.N. Grover,7fe281aa-02c7-462c-afc6-f767a17fd450
P. Jaganmohan Reddy,d86d6d94-6239-48d8-b68c-0754c1e84082
I.D. Dua,e262b405-a5b5-4058-9c45-9e7c460f1b37
Subimal Chandra Roy,d16be4b1-61e1-4bc0-a2c2-6ac89d5fe7be
D.G. Palekar,24c27c1f-4373-48be-901d-0c360d37a919
Hans Raj Khanna,0d321e58-5416-452d-a00b-86f717eb7bdd
Kuttyil Kurien Mathew,ee38791c-735c-4747-be5f-11c68d0711f7
S.N. Dwivedi,2b30ab7f-f4b7-4a72-b0fb-3f81963054b1
A.K. Mukherjea,d66131bd-00e4-4b6f-a4c7-2445a8d55212
A Alagiriswami,2fbd533d-da44-4f77-b0f6-0a2d560ac405
V.R. Krishna Iyer,97bc0c7e-6c22-46eb-a36e-36d176f55b55
P.K. Goswami,f05c526d-d37e-4551-b019-13e8c2ea5ace
R.S. Sarkaria,a9d2cc40-6ca1-4ecc-b422-55fb2b8fb34b
A.C. Gupta,ead49eba-1fdf-4493-b423-b8c5784050f9
N.L. Untwalia,459401ba-588c-443f-a71c-fcb13974dacc
S. Murtaza Fazal Ali,90c3a3e8-cff9-40b6-9cf4-26dae4587514
P.N. Shingal,ab916e1c-8e52-45b6-a916-dd535fe8e947
Jaswant Singh,dfb49d09-1ac9-4019-9391-1770bc3c285b
P.S. Kailasam,36a3f77b-3eb3-437d-b8c2-f3f53eaeda86
V.D. Tulzapurkar,3d89cf3c-2fc4-41f3-a02c-30ed0e6497ad
D.A. Desai,81981bdc-6c3c-4e8d-af78-542e233acf59
A.D. Koshal,70df3903-0a5e-4758-a430-19fe56382b98
O. Chinnappa Reddy,3f44b364-ab2e-4d35-8fbb-c22eacfe9844
A.P. Sen,bf9cf1d1-c1e8-43ef-a311-d9894c6883d7
Baharul Islam,35ecbf2d-696b-43f7-af32-155a59ba8158
A. Varadarajan,090fa31d-bff9-4a75-bded-ea660b0312e4
Amarendra Nath Sen,37276f11-13eb-402c-9dcc-98c79f165fac
V. Balakrishna Eradi,6995ad42-978c-4ff4-b63c-445f2fb2166a
R.B. Misra,3163ad9a-c1ca-4546-9968-d97de64fafd5
D.P. Madon,efb1e188-92ad-44fa-85fd-21a5a08b9fb7
M.P. Thakkar,39dd2cf3-faeb-454a-acd9-cf964a7fea73
V. Khalid,d1244055-e213-479e-bcbb-f0cdfb9f376e
G.L. Oza,b6201c7a-084c-4e2a-8947-bccc0b0b64f6
B.C. Ray,dfaed2f0-7f1c-485a-8f62-472c6ae73a0d
M.M. Dutt,cdc28af5-527e-4365-a9b3-fd1c076177a0
S. Natarajan,06a03942-3c04-47ff-bcf6-92a1aecf0185
K. Jagannatha Shetty,6b77f11d-35db-45dc-b6c1-fe16e759ad7b
S. Ranganathan,75081de5-0a0a-41bb-9369-2a2713ab6a09
D.N. Ojha,0e483247-1e79-4c7c-bd9d-4e738acdcc04
S. Ratnavel Pandian,6a4ab985-2442-4580-9c07-52ca4210347f
T.K. Thommen,0d7f57e2-88f7-4c5a-9822-944d9294d9f7
K.N. Saikia,3c6ad04e-ebd3-4cec-9ede-215c915851fa
Kuldip Singh,c754d61d-70fe-4baa-b3ed-1be939acc4be
V. Ramaswami,c2b881f4-394e-4795-8bb2-867662efc453
P.B. Sawant,1da96196-a0dd-4114-b9b9-9a43fcfa4308
N.M. Kasliwal,2edefec0-947b-4478-9bb7-602d0b5e741a
K. Ramaswamy,221fd127-62a3-4685-bb2b-bb3583f8cac2
M. Fathima Beevi,05b54aa2-a2ee-421d-88d3-a04e7babd32e
K. Jayachandra Reddy,438df433-95b7-4040-9bd1-a2b845443be5
S.C. Agrawal,e6168d5b-4397-42c2-bde2-4d17a68b7f0a
R.M. Sahai,38c333a8-64c7-456f-88a6-8425ff99446c
Yogeshwar Dayal,92148b30-b78c-4aa4-97b5-7e4a776ebe60
S. Mohan,e0625465-18c8-48fb-830b-9d3645a07076
B.P. Jeevan Reddy,d4b831c1-7d1c-4818-a95b-ede0105d657c
G.N. Ray,f94da0a4-707b-4414-a6b0-b7c20e56027b
R.C. Patnaik,47e7f4df-7214-4a96-a5d6-938b1ab9eac0
N.P. Singh,534066a8-fb4f-44ab-8e17-76620f5b95dd
N. Venkatachala,5882d823-1b59-4420-8346-c4ead2fc9f3c
M.K. Mukherjee,a0e80970-7ec9-44e5-8880-477a617bc095
Faizanuddin,c5731401-0e77-4ac2-b2e9-5044202ac279
B.L. Hansaria,8b101514-d725-44b6-b706-8367d61f9255
S.C. Sen,9c57d479-1a28-45d7-998a-498fea1b57b6
K.S. Paripoornan,3896047b-5f94-4513-8d24-dd6d8889f994
S.B. Majmudar,5bbb82d6-05ab-4776-affb-538c1c012af3
Sujata V Manohar,f3ad7825-50c6-4140-814f-cee231920fbd
G.T. Nanavati,b0d595e9-bdb8-43d6-9b70-cdfa03d5a1c3
S. Saghir Ahmad,0497af38-d689-4e70-8a4d-765117aadf2c
K. Venkataswami,df012749-c985-4015-bc9e-6de51fc814bd
S.P. Kurdukar,7dd97bfe-5652-4e0c-8867-c20200e836cc
K.T. Thomas,ef9df28d-b7eb-44b2-8206-5a30ce99acaa
M. Jagannadha Rao,8218bdb9-9f53-4c8e-91d9-6c8c258cff2b
D.P. Wadhwa,e8e820ec-9058-4469-9b5c-b2bb23e2b506
M. Srinivasan,51782d4c-0409-44f6-9bcb-8a2ca32713a9
Ajay Prakash Misra,3a4cebb6-2074-4174-aff5-c18c69456903
S.S.M. Quadri,59e00ff1-4cd0-4aa8-ad3c-a5faa1fd345d
M.B. Shah,454ab7d5-5e52-4b6e-bdf8-98a7c255da09
D.P. Mohapatra,0c9bebf0-1a4a-446a-bf63-cc239b0a9ffd
U.C. Banerjee,b37f3e9a-fb92-448e-9e07-9534fc46594a
N. Santosh Hegde,e2b45daa-12db-4156-a1e5-92752d2cc00f
R.P. Sethi,e15d9522-b6ff-43e6-93cc-dde3654482d5
S.N. Phukan,0e84f13a-6e40-4946-814d-1177fc20f7dc
Doraiswamy Raju,27b70d57-1692-409c-84a2-d1f9f2e4b5d2
Ruma Pal,9faddda1-e7fd-4710-8602-c818c3bcd2b5
S.N. Variava,3de65e68-4ac3-47a2-bf77-e1049b554be2
Shivaraj V Patil,896e0bdc-e6c7-4f9b-a5b9-44f550cc2162
Brijesh Kumar,0568cdbd-5944-4973-8c64-9fe070cc7c95
B.N. Agrawal,42f74722-12db-47fc-841c-109a7e5385a4
P. Venkatarama Reddi,7e4deec3-66d2-4da5-975c-b37a4206d53b
Ashok Bhan,851f4782-51f9-4011-8d94-8f877f7689be
Arijit Pasayat,4d73951f-9be9-4600-b4a0-afc536a33052
B.P. Singh,bf3ae5ed-6771-48ed-a982-eb12b5c4d8db
D.M. Dharmadhikari,85543efe-e813-403d-9157-5f2318cd773a
H.K. Sema,f2357dc4-708a-4eb8-bf1a-e71eb29889d3
S.B. Sinha,64e91ab4-7328-4260-8060-a3e974862f3b
Arun Kumar,cec269fe-b19e-4e39-b2d7-02dc58d775a4
B.N. Srikrishna,5e14d670-3f2e-4b0b-b166-0aa89853d71a
A.R. Lakshmanan,96ca0899-83c1-410e-b5d6-35f03002fe71
G.P. Mathur,967e35f7-1085-4305-a22b-8f2ee2e5d0c8
A.K. Mathur,4bc42cba-c61a-4229-86d2-02938816cdb4
C.K. Thakker,28fe79b8-e45b-43ec-9e13-c868cacd8d26
P.K. Balasubramanyan,e5a0915b-59b3-4d2f-8e55-3ba1820f3fa5
P.P. Naolekar,11d3624e-60d1-479e-997c-bfc9a994208e
Tarun Chatterjee,0e950037-8a2e-4562-afce-b5d04f2bfaa4
Lokeshwar Singh Panta,546ba75a-b4ba-41fc-b3ea-0181402064b9
B. Sudershan Reddy,550e965b-6552-4097-9fc5-28f82f6c04f5
V.S. Sirpurkar,fbf5b1ba-f7c0-4046-851e-5e032a623bce
H.S. Bedi,95cef543-839b-45ab-bda4-d08dd6ec39d1
Mukundakam Sharma,50a15c03-89be-4490-a9de-eec2e9cfbdaa
Markandey Katju,ea0782de-c19c-42c8-a0d5-73ee866ecf34
J.M. Panchal,95631841-a455-4d30-9b94-efe2ee9e8b05
R.V. Raveendran,b4d73f03-f7ea-4fe0-8d4c-3ed7280cd531
Cyriac Joseph,367b98ff-d084-44f7-94b4-579fba368c53
A.K. Ganguly,f070a0be-9c2b-4e95-9bed-092341fc9e15
Dalveer Bhandari,3328c7e5-bf44-4d63-9530-a8d74e897a60
Deepak Verma,49ebfdfa-e885-4d4c-a791-aaaf9feac2bd
Swatanter Kumar,2f66668c-5213-4333-9507-123ada56a130
D.K. Jain,ad524cdd-1af0-41c4-b4bd-4301a48533b8
Aftab Alam,39a0a8c2-d786-414a-a993-a885637ada8b
G.S. Singhvi,a681e79f-e080-4f2a-95a0-fdad4a38afbc
H.L. Gokhale,04d14f24-6e9c-4210-942b-2e686d843992
Gyan Sudha Misra,cefc5ca6-7c75-49da-8ef0-d12240be0499
K.S. Panicker Radhakrishnan,18fb1f47-2a84-4c66-a29f-45fe79c6d1e3
A.K. Patnaik,9516b1d5-2fee-42f1-a83f-e0df78041b6c
S.S. Nijjar,3a6b597f-2fa1-4b9a-aa0b-9f4c26f97ba8
B.S. Chauhan,cc2420b6-ffc7-4b7b-9b47-ab8dae66b733
C.K. Prasad,6c02eb00-2ae0-4293-b981-938a40ccc421
Ranjana Prakash Desai,d66d02e8-6a1c-4bec-8a24-1215e580602b
S.J. Mukhopadhaya,99727939-e7ce-4bb0-b5e8-568a0564b96e
Vikramajit Sen,e70b77a9-f0f1-43ca-bbfb-3531a4e49b6a
M.Y. Eqbal,6a6ce7ed-2871-4845-b136-d3317dfdcbc0
Fakkir Mohamed Ibrahim Kalifulla,edb7831f-f009-42a5-a271-c022934019a4
Chockalingam Nagappan,d8bfc120-1215-4de3-b4d0-6fb2c31baf56
V. Gopala Gowda,b110c596-a039-42b4-a443-9b80abbf1f3c
Shiva Kirti Singh,1581e1d7-8d0c-4fda-a0f2-b1f358f9ca16
Anil R. Dave,6d6f07cc-ea0d-42a4-b029-9d780ea76256
Pinaki Chandra Ghose,76f22e7f-f0d0-4e1b-a311-2ff0c7386c05
Prafulla Chandra Pant,a41aef6a-da01-4dc3-bb22-05ae7688c2a4
Amitava Roy,26ce09e1-3e73-4f25-9a7d-b06b7530da2c
R.K. Agrawal,331166a4-6729-433d-b706-aae1718eb622
Jasti Chelameswar,b88a591a-7930-40f3-8197-9de94598a875
Adarsh Kumar Goel,7f167fa0-e0d3-41ca-a869-dfd070b4315e
Kurian Joseph,fb707e9d-4e13-4d22-8ee7-9ea7fe666b18
Madan Bhimarao Lokur,8a2f141a-db02-4d21-b113-ea96ad6af8bd
Arjan Kumar Sikri,63a364b2-c8b7-4b87-a692-57b1e3883e56
Abhay Manohar Sapre,4ff609da-dbef-4909-9d87-54bb24aeba69
